ID,Crop,Year,Month,Sample_Day,Sample_ID,Plot,Treatment,Temp,Soil_Moisture,ON,OFF,Flux_N2O,Mean_N2O,SD_N2O,Flux_CO2,Mean_CO2,SD_CO2,Flux_NH3,Mean_NH3,SD_NH3,Flux_CH4,Mean_CH4,SD_CH4
1,TWG,2019,5,3,1,9,cyano,10.6,NA,1223,1214,0.028602135361130196,0.33064039622492736,0.005008147691518271,1.0279854952160534,467.43991996791283,50.30438948091163,55.33995265652485,13.20797803050753,2.7340717086142403,-0.19654062516423987,1.9018860185886393,0.009853152946226622
2,TWG,2019,5,3,1,8,urea,10.4,NA,1239,1229,0.00695955779525349,0.32869360384728913,0.005685863323579917,1.619195631729445,528.5820611903252,85.50214041591028,32.965883916588865,18.660671447675902,2.289029256360924,-0.16789993919108645,1.8774411964628916,0.009457665985038423
3,TWG,2019,5,3,1,7,control,12.4,NA,1251,1241,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,TWG,2019,5,3,1,4,urea,8.8,NA,1319,1309,0.026845728735492885,0.32433657978252173,0.005301193373395021,1.4828488704254343,520.4907305270683,75.8695149178492,27.369149361392495,13.272417477307577,1.5045114357451699,-0.28857573888510474,1.8903559415340372,0.015043967110592894
5,TWG,2019,5,3,1,5,control,10.2,NA,1332,1322,1.1751717549012607e-4,0.32656725935463543,0.005215313379333072,1.4030646953562136,494.31752570308595,71.01837800542057,30.457054986553814,13.799649995579037,1.6674098342054182,-0.13471476100685603,1.8836726230609375,0.008441707540108942
6,TWG,2019,5,3,1,6,cyano,11.5,NA,1344,1334,0.023846297947014684,0.3285298564673935,0.0048921274519813755,1.3683323413210442,499.5168707989032,68.43069968753872,24.009773740653166,12.161443979011096,1.429586670181582,-0.21350845693020265,1.8797724065273549,0.011397944634657181
7,TWG,2019,5,3,1,3,control,14.4,NA,1401,1392,0.01520936258345899,0.3293342983267677,0.0052208086931253275,1.3624139021980721,504.3305106572727,70.0836743660722,34.01870106754343,10.653288930125001,1.8043399847508215,-0.21834416836476,1.8756945574094697,0.012098312598227162
8,TWG,2019,5,3,1,2,urea,16.9,NA,1416,1426,-0.005596446408440162,0.32617130072789857,0.0047143565429693226,1.675168829044688,538.0433639653623,90.51645706963109,30.48602545748944,12.193587281705677,1.8470819690694362,-0.2010239585755436,1.8784095934836957,0.01136962250502305
9,TWG,2019,5,3,1,1,cyano,14.5,NA,1427,1417,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10,TWG,2019,5,10,2,10,control,12.3,NA,1123,1135,0.008983527245274327,0.3304813059770109,0.004152966954822863,0.7378913622244662,483.1423450594411,39.33052676472831,11.613809012177377,7.5660953281754555,0.67654111332087,-0.1887727033350337,1.910593671046294,0.01087475502381028
11,TWG,2019,5,10,2,11,cyano,12.3,NA,1134,1147,-0.010824092629064419,0.3268730050126247,0.005401062640232043,1.4814845475637135,501.80640116440946,72.74401032236912,12.067400816346941,8.622278767935564,0.7067802506977738,-0.19804950262936688,1.8993736325255905,0.010206824828828431
12,TWG,2019,5,10,2,12,urea,11.9,NA,1145,1159,0.028678361298343284,0.3279735937327657,0.005879184883884825,1.3392158287284628,486.1208709436876,68.17525732074346,14.541463178294789,9.083110839362613,0.834513866922868,-0.1880663583323494,1.897717063353393,0.010153692132589412
13,TWG,2019,5,10,2,13,control,12.4,NA,1202,1212,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14,TWG,2019,5,10,2,14,cyano,13.4,NA,1216,1226,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15,TWG,2019,5,10,2,15,urea,14.1,NA,1230,1240,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16,TWG,2019,5,10,2,3,control,15.9,NA,1243,1253,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
17,TWG,2019,5,10,2,2,urea,17.1,NA,1259,1309,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
18,TWG,2019,5,15,3,4,urea,21.7,NA,1028,1038,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
19,TWG,2019,5,15,3,5,control,21.2,NA,1039,1049,-0.005318582585479153,0.32942231167753605,0.0058911208899210974,2.5271663091701555,602.8483550748919,138.43664186348175,67.91208805174286,32.34705929325601,4.32634778549919,-0.1805150992154866,1.8420375360474759,0.011977130318041275
20,TWG,2019,5,15,3,6,cyano,21,NA,1052,1102,-0.007106130104770717,0.32887893895270665,0.005712434153490876,2.002292421952019,515.1484521529336,82.2676663526303,99.33436599993726,29.514154585165315,4.471842003775681,-0.30150729383973235,1.8486459181632091,0.01342127520859605
21,TWG,2019,5,15,3,1,cyano,21,NA,1113,1123,0.024659528369270284,0.32859107465019766,0.007005421925640246,2.3489890113368754,579.446344069921,118.67813555389957,42.490055522042574,28.991423073379448,3.4955395035978922,-0.22630816956379557,1.8372660503396574,0.012524271209735005
22,TWG,2019,5,15,3,2,urea,22,NA,1125,1135,0.045545281958806166,0.3244470282821609,0.007423649296935225,2.8255857079041715,635.6223858327011,154.7170736155167,19.530594373853248,29.96239645597239,2.8770084655868096,-0.21210868138552508,1.8283911662564225,0.013113998861495077
23,TWG,2019,5,15,3,3,control,22,NA,1136,1137,0.0086425448496235,0.32470346041235437,0.006280933957153242,1.6878533369712636,548.5363642452306,109.73205912358327,23.668689156989146,21.381914420146845,2.2936937716690706,-0.1946384408514028,1.8421879294184467,0.017735904152593743
24,TWG,2019,5,15,3,9,cyano,22.1,NA,1149,1159,0.02751412205993907,0.3272113415420122,0.006444284839575485,1.6558192876031217,516.239783653378,89.81629847942963,25.286008836250183,15.999778887580488,1.539882437997763,-0.21453332945253845,1.8507300509454878,0.012172014256479635
25,TWG,2019,5,15,3,8,urea,23,NA,1202,1212,0.030531943925850614,0.32477993509521147,0.006197063547518853,3.8132773430222433,718.0935095093532,203.92545312116474,49.770982686999034,24.77079428474005,3.3671636677845718,-0.22885663447483304,1.8176465609156716,0.014351667638369429
26,TWG,2019,5,15,3,7,control,23,NA,1216,1226,-0.03128262104933652,0.3279271874199258,0.007574877365208704,1.2830465399179187,487.6393816936465,70.58613821819985,8.945064065664837,16.587448456875155,0.7403802773255883,-0.2648284879860596,1.845261416743387,0.015264984909107318
27,TWG,2019,5,15,3,12,urea,22.3,NA,1232,1242,-0.057701920861166704,0.3270831408042457,0.00791423963494498,2.377845087142059,587.4656644713625,130.86098991529204,33.80425119232798,16.428561604950975,2.0527724858422625,-0.29170850152875566,1.83560991903236,0.016798368904782385
28,TWG,2019,5,15,3,11,cyano,22.4,NA,1243,1253,0.02125023813114453,0.33062707000579394,0.006322530423525906,2.7667854780949166,619.0489145163879,152.28734784341884,22.051492452774184,16.268545828892123,1.4776369010861303,-0.6938789697055636,2.3528097393487273,0.059560375842741625
29,TWG,2019,5,15,3,10,control,23.4,NA,1259,1309,0.15256311676129722,0.31963545855142855,0.006152672134824654,0.7972135251353764,381.9945027338961,12.390417484481812,219.50711289042874,10.727038549450649,0.7150870664890342,-2.1136204672247474,1.8800510851324674,0.006694363720085044
30,TWG,2019,5,21,4,9,cyano,10.5,NA,1344,1354,0.03801437186388334,0.3335918847489267,0.006054331084887568,1.8733178320383104,550.6500353815576,92.08258476192906,20.0963212411465,10.662256568857723,1.101331143233848,-0.15624302428503825,1.9031080341839006,0.0077237802686322705
31,TWG,2019,5,21,4,8,urea,8.5,NA,1358,1408,-0.031902811724501226,0.3274965815538333,0.005408310284904169,2.563805000805551,420.496710864,21.73821778173146,19.617063075230437,9.721431321459166,0.19368630831340078,-0.3466855996051859,1.9171812864491666,0.0027548715129599747
32,TWG,2019,5,21,4,7,control,12.4,NA,1412,1422,0.02654684096102284,0.32822702261369,0.005654164184777112,0.5982635081133041,464.410830398524,45.15416035833665,-6.984863328090187,8.105012920016605,0.4256300715374212,-0.04093159124872883,1.9066166124857318,0.004102911795735163
33,TWG,2019,5,21,4,3,control,12.1,NA,1425,1435,0.02690480416741712,0.32888347923612515,0.005728902320983902,1.1904115420008998,497.86294326371507,59.18804257173016,7.571925975713237,7.1531188198316915,0.4126862468193414,-0.11287406218644162,1.904597961343542,0.0057101053071374076
34,TWG,2019,5,21,4,2,urea,12.2,NA,1439,1449,0.012373001200278759,0.32968725519535946,0.004894925226398534,1.1475734773794337,488.3808844109673,58.663477641593886,2.5838097914685942,7.117284024094771,0.21172170365271387,-0.05329365311167433,1.9135792643951635,0.0028096024448885913
35,TWG,2019,5,21,4,1,cyano,10.7,NA,1452,1502,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
36,TWG,2019,5,21,4,4,urea,11.5,NA,1508,1518,0.2622531887718191,0.3509475982505102,0.015256751806929847,4.6324619672870515,841.3627785890178,251.39458353829468,1.1244998505449013,5.658747534058036,0.16187280731749326,-0.7452010178264361,1.8515892179051021,0.04105872435585937
37,TWG,2019,5,21,4,5,control,12.9,NA,1520,1530,0.013183633669581396,0.3294743803749091,0.005073201856321882,1.0220781250533426,493.1331810324606,58.09840610226409,-1.320297705413504,5.636308049006909,0.15596586790555772,-0.030889811086263687,1.920958261258303,0.001979166826892013
38,TWG,2019,5,29,5,6,cyano,14.4,NA,1020,1030,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
39,TWG,2019,5,29,5,5,control,15.6,NA,1034,1044,-0.006804033303086338,0.33476196700420924,0.006006833857866409,3.1036220334239184,696.372939462348,167.13609261623392,-23.7635180796695,28.352870438525546,1.8390786256950469,-0.01232331751817336,1.871962955420073,0.0021882123686554006
40,TWG,2019,5,29,5,4,urea,13.3,NA,1048,1058,0.0421460810159741,0.3323641689234673,0.005531761791656828,3.92134391725706,715.4904681247488,202.60012957292673,-22.32726603720257,21.26134946609171,1.482796551473335,-0.12248164594357602,1.880412292078769,0.0068752457731957525
41,TWG,2019,5,29,5,2,urea,16.5,NA,1103,1113,0.009800834248327448,0.33315886236574305,0.005410065672301747,3.5011413281604273,709.838752935126,181.16160350735043,10.535493771641365,23.355968550080604,1.2222817234792478,-0.15914108057482196,1.8661275763057934,0.009310892950148867
42,TWG,2019,5,29,5,1,cyano,16.7,NA,1129,1139,-0.025400830033334272,0.32876329314103947,0.00634456536425864,3.0508366772107514,656.2098962546711,151.6802953635069,12.637710695756727,18.515432887510528,0.9528499403425204,-0.15857726272931155,1.8616183671139475,0.009600713905313005
43,TWG,2019,5,29,5,3,control,17.6,NA,1142,1152,0.02988038774103247,0.3295029319116557,0.006117527791809825,2.8038909960026186,606.0669580821287,139.36386580395452,166.25704518544794,66.99846567111038,9.475932161289673,-0.06659937090263382,1.873913603645598,0.004747800614598193
44,TWG,2019,5,29,5,15,urea,14.3,NA,1205,1215,0.02570926690611653,0.32981474916452197,0.0056508259365293575,3.7010473924722374,711.135878070478,184.82570036018993,228.72468510380128,94.96144064866925,17.193552983046374,-0.22658632182976113,1.8613119159387597,0.012275626545258735
45,TWG,2019,5,29,5,14,cyano,20.1,NA,1217,1227,0.040086355206453615,0.3304753461691871,0.006579016379996817,2.525133744524997,594.8293213485161,129.37487135175405,-267.22141224053433,95.66916719526968,18.685797039406925,-0.18521962750248022,1.856155992359226,0.011912651245722168
46,TWG,2019,5,29,5,13,control,21,NA,1230,1240,0.010417543572433793,0.3289119082520269,0.007047016649806922,2.065297021703226,556.2985181108303,112.77013213495938,-63.146924071513226,48.14529033494139,3.898434236063728,-0.138349173684184,1.8579126768192917,0.009061164012113822
47,TWG,2019,6,1,6,12,urea,16.7,NA,1059,1109,-1.2208348198584429,0.3256828166154762,0.006398017497110104,4.647656919053701,386.5305679636905,18.101260159179734,697.6065597037056,22.225630875297618,2.305807195870962,-1.5380176369587564,1.876725003527381,0.005898126279127601
48,TWG,2019,6,1,6,11,cyano,17.5,NA,1110,1120,-0.025861723178113367,0.324644836497439,0.006128877097751345,4.922583307984749,842.0840683408293,262.569167827814,-16.600328366608757,37.03719465976829,1.8406529385461463,-0.1635537333057356,1.8335050814779268,0.013053066414161986
49,TWG,2019,6,1,6,10,control,18.8,NA,1121,1131,-0.027874297180788425,0.32658606915238625,0.0072078087271520855,2.3167186927742014,582.9145300299631,124.27002473749378,-1.3142697985610519,30.48499220382411,2.015441648253847,-0.21697562688248923,1.848731849213899,0.012273758699260841
50,TWG,2019,6,1,6,9,cyano,19.1,NA,1134,1144,-0.014813367280908797,0.32673252964877036,0.006228047792218307,3.5287851874528693,703.550169369059,185.01551998685164,50.36435787176427,29.88633077801882,2.940159473319803,-0.13083513774086408,1.8496679508411544,0.009196220448682181
51,TWG,2019,6,1,6,8,urea,18.1,NA,1145,1155,-0.03258209259317511,0.3246568906232661,0.006433854301901483,6.164779486412467,923.731202342169,321.94404441656417,-34.10620127324802,28.083782069197984,1.8402354749787875,-0.1314362574631528,1.8466914456965953,0.00752167597875473
52,TWG,2019,6,1,6,7,control,21.6,NA,1157,1207,0.1312838960864282,0.327194758621789,0.005551409714626678,2.010000059267429,393.6464610101376,30.41566970244984,101.28177369152968,27.10116601969266,1.4891486780162684,-0.5873711416545364,1.8487793918059634,0.00856715943339053
53,TWG,2019,6,1,6,4,urea,16.6,NA,1210,1220,-0.016199999889216048,0.3220067870428061,0.00716012662570673,4.507440668453936,721.7977801276276,229.84610672883306,44.44935735165695,25.18653216594005,2.7265658066282206,-0.30185587729405244,1.837784694586097,0.01729565394585589
54,TWG,2019,6,1,6,5,control,21.1,NA,1221,1231,0.0018195893866285525,0.32301288600506767,0.006060247195934295,4.473391198713622,761.6430408890529,240.71935729042204,5.250573337112263,25.283126924119312,1.9336451015780844,-0.19453440037782488,1.8393695203125462,0.012946753586922098
55,TWG,2019,6,1,6,6,cyano,22.1,NA,1233,1243,-0.013630984202965048,0.32281248131154544,0.0069987900401228135,3.8232273213862027,696.4893526004026,196.38639250369752,-9.054707812463377,24.23188807106883,0.8271942468742909,-0.15647514729202855,1.8499848534184415,0.009176093039666185
56,TWG,2019,6,16,7,3,control,19.4,NA,1018,1028,0.05262943854490596,0.3280019405765927,0.0066959999732896635,3.1188346810871748,652.3034956251697,158.2182823769334,-15.755681305400945,56.988271026698435,4.852676345427649,-0.21696594936957536,1.8607427929035247,0.0119727009523983
57,TWG,2019,6,16,7,2,urea,18.8,NA,1030,1040,0.02368893973515067,0.3313875131322487,0.006524100937318607,5.156843484016461,792.458751249008,256.4742907962315,563.8418231064798,63.21157802503042,41.09882444571627,-0.19754030473788117,1.8527789371734127,0.009888636235311495
58,TWG,2019,6,16,7,1,cyano,18.1,NA,1044,1054,-0.0028431534527062936,0.33127893518870305,0.005660199114207542,2.9241369904579626,639.9451059088364,158.10295140124012,-281.10024638089396,123.6854106823103,15.897401543210467,-0.2031914407504467,1.8563659401550303,0.011403536799194515
59,TWG,2019,6,16,7,4,urea,18.2,NA,1056,1106,0.13119758550942967,0.32905019265520136,0.007108098196638815,6.198981490715962,545.6714335845637,121.70859616555647,374.62671463823915,72.57222615818456,7.583995170147677,-0.3024842411159181,1.8603090182325503,0.0063758322681681575
60,TWG,2019,6,16,7,5,control,18,NA,1107,1117,-0.010730588708093982,0.33003236279060494,0.005629132613003307,4.753717038649589,831.3311938667655,252.79320511659535,-74.7630585550954,50.2045345488358,4.47804096249073,-0.19829231719649443,1.8513875283437038,0.011184542432556722
61,TWG,2019,6,16,7,6,cyano,19.1,NA,1118,1128,-0.009970044623721109,0.3298651435310864,0.005960456846762524,3.930573397827968,733.4054262414692,210.30087962736062,-57.81534121843591,35.52619643687284,3.2737386604891037,-0.15471916711854466,1.845845053491358,0.008454217226049374
62,TWG,2019,6,16,7,9,cyano,19.9,NA,1131,1141,0.027313459389113816,0.3314431931344198,0.015593582015789302,1.7426949026565723,646.0927730677284,170.46590945730537,-13.2248819779097,30.51096384062469,1.739392429836729,-0.08256989366500282,1.8426634747437036,0.013535879859378432
63,TWG,2019,6,16,7,8,urea,19.5,NA,1142,1152,-0.01707910066580443,0.3250671063640708,0.00789064039596772,5.85442362103675,1120.9203373742857,336.6308087864411,12.568566094269782,28.72797501963464,1.3714662791045842,-0.20507522122635596,1.8286860325266752,0.011396217480733299
64,TWG,2019,6,16,7,7,control,20,NA,1152,1201,-0.010367414573670571,0.3290376473027957,0.005623677313009469,2.2640419466328727,517.7294193789708,96.96969630032395,-31.142869113164252,23.033372514792628,1.4987643404099265,-0.20214911614800252,1.8391027229648234,0.009118017945107795
65,TWG,2019,6,27,8,9,cyano,14.2,NA,935,945,0.03274475604086667,0.3350728999836309,0.005558475626914974,1.7028098302381496,655.4737196558142,91.05923168943525,-17.658961702643865,61.268035578995175,2.301803621726053,-0.18662618498054764,1.890471907554041,0.009955962628311327
66,TWG,2019,6,27,8,8,urea,14.7,NA,952,1002,0.04496149276598836,0.33334133087333334,0.005050971194565228,1.9945338389178473,606.6736995742043,76.98856890498942,53.28860693844295,51.02424633680737,2.2740702370598553,-0.20472312398472292,1.87099283570067,0.007881808199120755
67,TWG,2019,6,27,8,7,control,16.2,NA,1004,1014,-0.003550843514497984,0.3307978731498428,0.005601569304226768,1.1665827182800648,506.82514811928655,67.83836394608699,22.004903962261956,63.087784615409916,4.015369663721154,-0.19277394430334316,1.8732798170299878,0.01157179366608792
68,TWG,2019,6,27,8,4,urea,16.6,NA,1019,1029,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
69,TWG,2019,6,27,8,5,control,17.4,NA,1031,1041,0.017278762985369303,0.3280697134041125,0.0051113885089162205,1.8677736766557815,544.50425705165,97.85202821875288,121.40638732465571,51.768169660635,6.85791331870936,-0.20028065443131132,1.858282594773,0.01074049207171509
70,TWG,2019,6,27,8,6,cyano,18.6,NA,1056,1106,0.0056960876021554,0.32844055512469134,0.005051368032128415,1.368686160923894,809.4093653466975,29.887035399490568,-19.3569034359593,39.89371573608642,1.2776951392546891,-0.13556814789125976,1.8277799086617283,0.005805438893797569
71,TWG,2019,6,27,8,15,urea,18.2,NA,1130,1140,0.01694578170828139,0.32547065228325917,0.005431131316117329,1.9337544840452294,542.954113544987,96.66530677108405,43.572503794300374,31.64738085648822,2.3371114797359365,-0.27116065561254626,1.8496305627507854,0.013963301734833776
72,TWG,2019,6,27,8,14,cyano,20.4,NA,1144,1154,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
73,TWG,2019,6,27,8,13,control,21.5,NA,1200,1210,0.023375779953396306,0.3316657095931205,0.006244437656132038,1.187471388223524,564.8338397831807,67.32328462905349,42.10107230963581,37.27810469067952,2.4632026307489894,-0.15585610330667848,1.8321309286559035,0.009066076073596035
74,TWG,2019,7,24,9,12,urea,18.7,NA,907,917,-0.00959341306180481,0.33900968498104367,0.005106685318867516,1.0106036031609644,547.9880800215898,55.220426939418374,-96.65814186096239,86.61813350878883,5.359517711042038,-0.21055346627839053,1.816116255435801,0.011435900419988479
75,TWG,2019,7,24,9,10,control,18.3,NA,924,934,0.011671017231888514,0.32826479466834874,0.0045225466859264984,1.2741604987467805,578.7467940315852,63.43716676933076,62.12617196410307,69.60480747311229,3.7312928246558847,-0.22967319531076452,1.8290054087491414,0.01145366492579246
76,TWG,2019,7,24,9,11,cyano,18.8,NA,941,951,6.282263228904396e-4,0.3320178086760121,0.004902072085733551,1.3530064783468942,630.2198689381939,73.50591774871477,-81.01176699950351,73.66073181771515,4.4548469567625,-0.25144081365232324,1.8424717473843637,0.013767656889101303
77,TWG,2019,7,24,9,13,control,20.2,NA,958,1008,-0.12445635794967355,0.33056687337107843,0.006080184402939477,3.635241768673838,443.83719173117646,30.602070838085396,553.7050766874638,61.183863588549016,3.6177944566374354,-0.9033713171129234,1.842036668172549,0.00597395385288003
78,TWG,2019,7,24,9,14,cyano,20.8,NA,1013,1023,-0.004887835303446403,0.32845299958216645,0.005431045644894414,1.3407782506733492,623.138555284716,67.60972840800513,-24.426910702468124,62.19662180530251,1.6258825863719448,-0.21305054127396206,1.809488490556671,0.01086949478413817
79,TWG,2019,7,24,9,15,urea,19.3,NA,1025,1035,0.0021855953304905228,0.3264351925202972,0.004889013213314846,1.4011695135265516,522.3099525828941,71.85723495296489,4.1048278883361045,39.77357226336434,1.3819264698940905,-0.28792643435408655,1.801946242990181,0.01505839134711001
80,TWG,2019,7,24,9,4,urea,20.4,NA,1041,1051,0.013152796058308918,0.32813311841501824,0.005760837995069982,1.3286290753582717,507.1023548076671,78.98805435277747,74.19404550800266,38.522813852498174,4.587759063109827,-0.2268813369923368,1.80637105796695,0.014800887958090791
81,TWG,2019,7,24,9,5,control,20.9,NA,1053,1103,0.05822399135135409,0.32659522849747663,0.006020464707264535,1.8417989384767086,497.29623681745795,66.26899250449475,152.23259928896175,42.644788246996264,5.578528225787822,-0.3272251275371863,1.8048448640203738,0.01226923682152641
82,TWG,2019,7,24,9,6,cyano,22.9,NA,1105,1115,0.010349063449164302,0.32636063351662636,0.005552349622953343,1.708108848351496,541.1650021844015,94.06528562940998,59.67579622500217,38.82020840538694,3.3047554462250823,-0.2589660330150432,1.7985255652399033,0.014738333122466626
83,TWG,2019,8,20,10,3,control,19.9,NA,925,935,0.01089916724168804,0.33373819702855756,0.005566757003029373,0.7924370289114279,463.37762271410907,43.46286401372612,-4.732404800077184,28.705213932666666,0.5866442624960617,-0.23554060929862894,1.8498950892449697,0.012776151818692422
84,TWG,2019,8,20,10,2,urea,19.1,NA,940,950,-0.010430986635386481,0.33079857940045454,0.0053984279646438135,0.7246571647772009,508.78472515563635,40.71296679568122,-9.513171297932121,21.604294140362338,0.5431533496285428,-0.22440786658946685,1.8597620201054545,0.011365585728455993
85,TWG,2019,8,20,10,1,cyano,19.9,NA,958,1008,-0.20036379565643508,0.32995442909595746,0.005680121594507441,-0.9514942735884147,428.8428082478723,24.50727374404477,1.5585531219010527,13.867230447815603,0.1466523515946919,-0.31288681476830393,1.8828807402439716,0.002959461042375611
86,TWG,2019,9,12,11,10,control,10.5,NA,1005,1015,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
87,TWG,2019,9,12,11,11,cyano,11.1,NA,1018,1028,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
88,TWG,2019,9,12,11,12,urea,12.5,NA,1029,1039,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
89,TWG,2019,9,12,11,3,control,13,NA,1054,1104,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
90,TWG,2019,9,12,11,2,urea,13.1,NA,1105,1115,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
91,TWG,2019,9,12,11,1,cyano,13.1,NA,1116,1126,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
